Phong,Chung chu,Dieu hoa,Nong lanh,Quat,Tu lanh,Bep,Tu quan ao,Giuong,Gac xep,May giat,Khoang cach(km),An ninh,Dien tich,Tien dien(nghin/kwh),Tien nuoc/m3,Tien rac/thang,Gia phong,Quyet dinh thue
khong khep kin,co,co,co,quat treo tuong,khong,co,tu go,giuong doi,khong,co,~1,tot,12m2,3k,15k,15k,2tr,co
khep kin,khong,co,co,quat cay,co,co,tu go,giuong don,co,co,~2,on,25m2,2.5k,20k,15k,3tr2,co
khong khep kin,khong,khong,khong,khong,khong,khong,khong,giuong don,khong,khong,~0.5,on,7m2,3k,20k,15k,600k,co
khep kin,khong,co,co,khong,khong,co,tu nhua,giuong doi,co,co,~1.5,tot,20m2,2.5k,20k,20k,2tr8,co
khep kin,co,co,co,quat tran,khong,co,tu go,giuong tang,co,khong,~1,te,25m2,4k,20k,25k,3tr5,khong
khep kin,khong,co,co,quat cay,co,co,tu nhua,giuong tang,co,khong,~5,on,25m2,3.5k,20k,20k,3tr6,khong
khep kin,co,co,co,quat treo tuong,khong,co,tu nhua,giuong doi,khong,khong,~5,on,25m2,2.5k,15k,15k,3tr2,co
khep kin,khong,co,co,quat cay,khong,co,khong,giuong doi,co,khong,~1.5,tot,15m2,3k,15k,15k,1tr5,co
khep kin,khong,khong,co,quat cay,co,co,tu go,giuong doi,khong,khong,~1,on,18m2,3k,20k,15k,1tr5,co
khong khep kin,co,co,co,quat treo tuong,khong,khong,tu nhua,giuong doi,khong,khong,~0.5,tot,12m2,3k,12k,15k,1tr5,khong
khep kin,khong,khong,co,khong,co,co,tu go,giuong tang,khong,co,~2,on,15m2,3.5k,20k,25k,2tr2,khong
khep kin,khong,co,co,quat tran,co,co,tu go,giuong tang,co,co,~1.5,tot,30m2,3k,20k,20k,4tr5,co
khong khep kin,co,co,co,quat treo tuong,co,co,tu nhua,giuong doi,co,khong,~1,tot,15m2,3k,15k,15k,2tr,khong
khep kin,co,co,co,quat tran,co,co,tu go,giuong don,co,co,~3,on,25m2,3.5k,20k,20k,4tr,co
khep kin,khong,co,co,quat cay,khong,co,tu nhua,giuong doi,khong,co,~1.5,on,25m2,4k,20k,25k,4tr,khong
khong khep kin,khong,co,co,quat cay,khong ,co,khong,giuong tang,khong,khong,~1,tot,10m2,3k,15k,12k,1tr2,khong
khong khep kin,khong,khong,co,quat treo tuong,khong,co,tu vai,giuong doi,khong,khong,~0.5,tot,12m2,2.5k,15k,15k,800k,khong
